,Daily Returns,Total Returns,Funds,Margin,Portfolio Value,AAPL Position,AAPL Order,AAPL Filled Order,AAPL Trade Price,AAPL Cost to Trade,AAPL PnL,IBM Position,IBM Order,IBM Filled Order,IBM Trade Price,IBM Cost to Trade,IBM PnL,GOOG Position,GOOG Order,GOOG Filled Order,GOOG Trade Price,GOOG Cost to Trade,GOOG PnL,C Position,C Order,C Filled Order,C Trade Price,C Cost to Trade,C PnL,MSFT Position,MSFT Order,MSFT Filled Order,MSFT Trade Price,MSFT Cost to Trade,MSFT PnL
2016-04-04,-0.258979527119996,23.99834280421,278913.82608609967,325886.01,1239983.4280420996,652,-208,-208,110.41999799999999,39.520031199998854,786.6832287999978,-2143,-297,-297,152.34,69.94350000000223,840.9465000000323,468,-78,-78,750.06,59.82600000000234,-2210.286000000006,4744,-33,-33,42.36,5.444999999999926,-1954.1149999999839,239,-67,-67,55.43,10.183999999999973,-53.02400000000014
2016-04-01,0.4275626638749911,24.257322331329988,244516.35503329968,281551.92000000004,1242573.2233132995,860,-185,-185,108.779999,27.93504625000024,793.2151387500005,-1846,-222,-222,150.51,63.71400000000263,-2247.614000000042,546,-63,-63,738.6,37.51649999999954,2270.5934999999567,4777,-171,-171,41.52,23.512500000000244,3376.597499999995,306,-67,-67,55.05,9.14550000000025,82.83450000000082
2016-03-31,-0.9365179977999946,23.829759667454997,202985.58876454964,245954.8,1238297.5966745499,1045,-174,-174,109.720001,33.23399999999896,-601.0434779999912,-1624,-277,-277,149.79,56.646500000000444,-4611.346499999989,609,-82,-82,749.25,45.67399999999948,-3548.8539999999534,4948,-50,-50,41.83,6.849999999999952,-652.5900000000128,373,-78,-78,54.95,10.685999999999925,48.65400000000042
2016-03-30,0.9082535896800012,24.766277665254997,157292.08909054962,199908.27,1247662.7766525496,1219,-186,-186,108.650002,45.66303720000014,2426.474896799982,-1347,-289,-289,149.95,61.556999999999874,1356.8630000000146,691,-84,-84,750.1,86.05799999999718,4341.822,4998,0,0,41.98,0.0,799.6800000000185,451,-88,-88,54.93,15.004000000000236,157.69599999999798
2016-03-29,1.0518434751599983,23.858024075574995,117778.54075574962,157991.14,1238580.2407557494,1405,-137,-137,104.889999,21.440527400000292,3435.9062515999995,-1058,-266,-266,147.59,45.48599999999946,-1244.8860000000072,775,-65,-65,734.59,27.592500000003724,8752.307500000006,4998,-203,-203,41.78,25.374999999999712,-1053.395000000014,539,-76,-76,53.66,11.24800000000014,628.5020000000005
2016-03-28,-0.3140886586299949,22.806180600414997,82237.4029201496,117532.8,1228061.8060041496,1542,-126,-126,106.0,21.168006299999355,-719.7415862999762,-792,-235,-235,147.75,67.32749999999888,-470.72750000000974,840,-59,-59,736.79,25.812499999998657,-1424.7024999999828,5201,-70,-70,42.1,10.184999999999789,-103.0049999999788,615,-82,-82,54.21,10.660000000000094,-422.7100000000011
2016-03-24,-0.7305242446600004,23.12026925904499,55960.755926449594,82408.15,1231202.6925904497,1668,-94,-94,105.470001,14.898990600000099,-844.2169466000181,-557,-190,-190,144.98,46.550000000001944,-1546.6999999999955,899,-55,-55,732.01,31.81750000000295,-2845.8074999999926,5271,118,118,41.78,18.997999999999994,-2215.907999999999,697,-78,-78,53.84,9.74999999999989,147.39000000000186
2016-03-23,-0.7942859369400068,23.850793503704995,31968.08032304959,53361.8,1238507.9350370495,1762,-94,-94,106.480003,19.176009399999366,-1081.3228693999877,-367,-160,-160,148.0,27.520000000000437,947.3799999999962,954,-41,-41,742.36,19.556999999998062,-2519.80700000005,5153,17,17,43.28,2.3120000000000234,-5205.142000000026,775,-65,-65,54.11,9.06749999999979,-83.96750000000094
2016-03-22,-0.10123243834000312,24.645079440645002,12473.60255044959,30656.699999999997,1246450.7944064497,1856,-76,-76,105.25,17.138011399999506,1436.0561165999925,-207,-133,-133,148.06,26.533500000000817,7.366500000000325,995,-32,-32,737.46,17.567999999998573,-1499.0280000000305,5136,78,78,43.27,11.738999999999965,-1115.9189999999944,840,-43,-43,53.61,6.449999999999878,159.20000000000084
2016-03-21,0.5101273239000037,24.746311878985004,1829.6010618495905,10998.619999999999,1247463.1187898496,1932,-70,-70,105.93,11.584993000000424,-30.193260999983664,-74,-128,-128,147.3,25.599999999999273,-112.67999999999766,1027,4,4,736.5,2.4340000000001054,4613.19600000001,5058,15,15,43.43,2.0324999999999847,303.0975000000115,883,18,18,53.25,3.177000000000052,327.85299999999773
2016-03-18,0.24029511634000228,24.236184555085,1961.2795548495928,-0.0,1242361.8455508496,2002,-46,-46,106.339996,8.073004599999969,256.99666339997725,54,-143,-143,147.4,34.820499999998404,19.35950000000416,1023,38,38,741.86,17.23300000000204,-356.4129999999523,5043,-36,-36,43.43,6.371999999999934,3494.177999999989,865,-8,-8,54.92,1.1999999999999773,-1011.1699999999953
2016-03-17,0.4981992013799978,23.995889438744996,2246.9782434495937,-0.0,1239958.8943874496,2048,-142,-142,105.519997,26.41201419999895,-438.4684861999827,197,-149,-149,144.78,35.536499999999016,406.22350000000233,985,51,51,736.45,38.148000000001254,1608.1419999999398,5079,-18,-18,41.99,3.19500000000001,3141.465000000023,873,-20,-20,54.21,3.2000000000000455,264.62999999999573
2016-03-16,0.973156066369993,23.497690237365,1516.3401836495982,-0.0,1234976.9023736499,2190,-133,-133,104.610001,22.14451329999986,3025.9431636999743,346,-127,-127,142.62,24.066499999998328,565.9334999999957,934,46,46,726.37,21.895999999998914,7316.103999999994,5097,-34,-34,42.13,4.504999999999962,-1855.065000000033,893,14,14,53.45,1.9949999999999564,678.6449999999982
